"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"284","MaxV2",388,0.554052070031651,0.515016435047427,0.522107393009029,0,0,0.003,0,0.004,0.007,0,0,0.003,0.002,0.0036,0.0028,0.002,0.003,0.0026,0.002,0.003,0.0026
"285","Nelfe",115,0.617046747136567,0.512779354114514,0.536341614178007,0,0,0,0,0,0,0,0,0,0.003,NA,NA,0.002,NA,NA,0.003,NA,NA
"286","Nfe2",184,0.579048479560009,0.508927062502957,0.527265875840414,0.01,0.01,0.006,0,0.004,0.005,0,0,0.004,0.002,8e-04,0.0014,0.001,0.001,0.0012,0.003,0.0018,0.0013
"287","Nfe2V2",407,0.542933120833397,0.502153066671775,0.486301727723451,0,0,0,0,0,0,0,0,0.002,0.01,0.0054,NA,0.013,0.0066,NA,0.014,0.0056,NA
"288","Nfya",135,0.557465140655234,0.502920309437507,0.5132637314135,0.01,0.004,0.004,0.01,0.002,0.003,0,0.002,0.003,0,6e-04,3e-04,0.001,2e-04,3e-04,0,4e-04,4e-04
"289","Nfyb",134,0.528189725547881,0.495397006528316,0.525554135990153,0,0.004,0.006,0.01,0.004,0.004,0,0.002,0.002,0.001,0.0014,0.0011,0.001,0.0016,0.0012,0.003,0.0018,0.0013
"290","Pol2Musigg",158,0.541534171282324,0.493001031697393,0.500052355751874,0.02,0.028,0.033,0.01,0.022,0.019,0.02,0.028,0.027,0.001,6e-04,6e-04,0.001,8e-04,6e-04,0.001,0.001,8e-04
"291","Pol2",110,0.527962673536318,0.51396415900393,0.487693631575675,0.03,0.032,0.033,0.05,0.034,0.029,0.03,0.03,0.027,0.001,2e-04,1e-04,0.001,2e-04,1e-04,0,0,0
"292","Pol2V2",129,0.533782725076712,0.516679361348683,0.537300602816043,0.05,0.03,0.031,0.03,0.03,0.03,0.05,0.032,0.026,0,6e-04,6e-04,0,6e-04,7e-04,0,4e-04,6e-04
"293","Pol3",1108,NA,NA,NA,0,0,0.001,0,0,0,0,0,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Rad21",229,0.54130608016575,0.509569503938006,0.494471311801998,0.01,0.006,0.007,0.01,0.006,0.007,0.01,0.006,0.007,0.003,0.001,9e-04,0.003,0.001,8e-04,0.002,0.0014,0.0011
"295","Rpc155",102,0.572186885521124,0.496678167281307,0.531369164245505,0,0,0.002,0,0,0,0,0.002,0.002,0.003,NA,NA,0.002,NA,NA,0.004,NA,NA
"296","Sirt6",198,0.567999133150806,0.485794696286722,0.48708731589478,0,0.004,0.002,0,0,0.002,0,0.004,0.003,0,2e-04,NA,0.001,6e-04,NA,0,4e-04,NA
"297","Stat1Ifng30",119,0.577877553384933,0.516167242863382,0.499385589864847,0,0,0.001,0,0.006,0.004,0,0,0.003,0.003,NA,NA,0.006,NA,NA,0.005,NA,NA
"298","Stat1Ifng6h",120,0.593898711518409,0.491210676804884,0.498785686084842,0,0,0,0,0.004,0.002,0,0.004,0.002,0.001,4e-04,NA,0,2e-04,NA,0,2e-04,NA
"299","Tfiiic",139,0.58222532544174,0.509556523029876,0.453922234087473,0,0.002,0.004,0.01,0.004,0.009,0,0,0.002,0,0,NA,0,4e-04,NA,0,0,NA
"300","Xrcc4",300,0.71792431261014,0.485061717064891,0.592131892078582,0,0,0.001,0,0,0,0,0,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Znf263",362,0.533403993403773,0.51215339701039,0.534172240725214,0.04,0.024,0.036,0,0.044,0.038,0.04,0.03,0.038,0,4e-04,5e-04,0,4e-04,2e-04,0,2e-04,4e-04
