"","chip","num.on.pwm","piqauc","dgfauc","centipedeauc","piqppv100","piqppv500","piqppv1000","dgfppv100","dgfppv500","dgfppv1000","centipedeppv100","centipedeppv500","centipedeppv1000","piqsens1000","piqsens5000","piqsens10000","dgfsens1000","dgfsens5000","dgfsens10000","centipedesens1000","centipedesens5000","centipedesens10000"
"66","Sp2sc643V0416102PkRep1",311,0.980717146349839,0.91258822589273,0.947386212666639,0.83,0.67,0.519,0.12,0.11,0.108,0.85,0.654,0.476,0.209,NA,NA,0.201,NA,NA,0.202,NA,NA
"67","Sp2sc643V0416102PkRep2",105,0.962298376514235,0.852986841914232,0.852084750267752,0.54,0.338,0.194,0.08,0.15,0.176,0.64,0.304,0.178,0.091,NA,NA,0.088,NA,NA,0.084,NA,NA
"68","SrfV0416101PkRep1",128,0.96824692773156,0.854574407740311,0.924451622851223,0.43,0.274,0.181,0.06,0.058,0.076,0.43,0.27,0.174,0.044,0.0352,NA,0.036,0.0336,NA,0.038,0.0322,NA
"69","SrfV0416101PkRep2",116,0.953058041076147,0.863084088998318,0.9355631455681,0.06,0.152,0.122,0,0.024,0.028,0.06,0.16,0.124,0.026,NA,NA,0.033,NA,NA,0.036,NA,NA
"70","Stat5asc74442V0422111PkRep1",141,0.967824185514238,0.719612496211034,0.909539359044808,0.61,0.342,0.199,0.27,0.188,0.105,0.61,0.314,0.192,0.012,0.0106,0.0091,0.009,0.0076,0.0068,0.015,0.0106,0.0087
"71","Stat5asc74442V0422111PkRep2",1953,0.943044007106406,0.709244174822949,0.886907545012642,0.22,0.392,0.383,0.15,0.156,0.145,0.26,0.418,0.408,0.298,0.2104,NA,0.247,0.1808,NA,0.294,0.2038,NA
"72","Taf1V0416101PkRep1",388,0.955858825148708,0.72009264225658,0.81788895652651,0.84,0.772,0.537,0.41,0.474,0.341,0.85,0.592,0.434,0.073,0.0532,0.0386,0.059,0.0388,0.0279,0.058,0.04,0.0293
"73","Taf1V0416101PkRep2",392,0.956143449117098,0.915779325678751,0.880161439123294,0.82,0.648,0.615,0.49,0.58,0.612,0.81,0.77,0.663,0.052,0.0508,0.0487,0.054,0.0546,0.0521,0.052,0.0524,0.0506
"74","Taf7sc101167V0416101PkRep1",101,0.944383571552572,0.849919130837336,0.416195677333488,0.09,0.092,0.09,0.04,0.022,0.025,0.04,0.012,0.006,0.063,NA,NA,0.058,NA,NA,0.004,NA,NA
"75","Taf7sc101167V0416101PkRep2",704,0.920929098506774,0.683270684728175,0.692160389857713,0.19,0.154,0.135,0.04,0.028,0.031,0.21,0.166,0.132,0.198,NA,NA,0.161,NA,NA,0.177,NA,NA
"76","Tead4sc101184V0422111PkRep1",3054,0.952990818468313,0.656607260734524,0.920157934539499,0.84,0.786,0.747,0.38,0.348,0.361,0.84,0.796,0.76,0.199,0.1498,0.1168,0.14,0.106,0.0854,0.199,0.1466,0.114
"77","Tead4sc101184V0422111PkRep2",16036,NA,NA,NA,0.93,0.934,0.922,0.64,0.698,0.706,0.95,0.954,0.944,0.231,0.2044,0.2034,0.196,0.1782,0.1846,0.198,0.179,0.1829
"78","Thap1sc98174V0416101PkRep1",315,0.951574337269578,0.873029129063343,0.809341028017087,0.38,0.266,0.228,0.05,0.076,0.081,0.37,0.256,0.226,0.146,NA,NA,0.14,NA,NA,0.135,NA,NA
"79","Thap1sc98174V0416101PkRep2",269,0.973924542972719,0.915899838918897,0.860428008973009,0.39,0.28,0.243,0.04,0.062,0.064,0.37,0.274,0.239,0.147,NA,NA,0.142,NA,NA,0.14,NA,NA
"80","Trim28sc81411V0422111PkRep1",174,0.954218196518009,0.663954683421148,0.864107817007078,0.69,0.37,0.219,0.32,0.202,0.104,0.69,0.344,0.212,0.019,0.0136,0.01,0.014,0.0102,0.0077,0.02,0.0138,0.0102
"81","Trim28sc81411V0422111PkRep2",142,0.956219707685928,0.814100823079599,0.498862155332714,0.24,0.182,0.13,0,0.022,0.035,0.15,0.052,0.028,0.046,NA,NA,0.039,NA,NA,0.009,NA,NA
"82","Usf1V0416101PkRep1",317,0.920301486284657,0.786987055786379,0.811416399425073,0.47,0.378,0.382,0.29,0.31,0.374,0.47,0.424,0.388,0.112,0.041,0.0271,0.106,0.0386,0.0255,0.1,0.036,0.0245
"83","Usf1V0416101PkRep2",241,0.925470701494969,0.782259680811107,0.822374777299845,0.35,0.274,0.283,0.27,0.242,0.283,0.35,0.322,0.288,0.109,0.041,0.0281,0.105,0.039,0.0268,0.099,0.0362,0.0257
"84","Yy1sc281V0416101PkRep1",514,0.962130690098415,0.885385850586125,0.863078996192907,0.96,0.812,0.798,0.67,0.746,0.793,0.94,0.928,0.831,0.082,0.0714,0.0571,0.092,0.075,0.0593,0.084,0.072,0.0577
"85","Yy1sc281V0416101PkRep2",220,0.945769732120626,0.894805961988176,0.880112287690828,0.44,0.388,0.372,0.38,0.338,0.365,0.44,0.454,0.39,0.09,0.0558,NA,0.094,0.0584,NA,0.089,0.0574,NA
"86","Yy1V0416101PkRep1",514,0.962130690098415,0.894149641412334,0.863078996192907,0.96,0.812,0.798,0.67,0.746,0.793,0.94,0.928,0.831,0.082,0.0714,0.0571,0.092,0.075,0.0593,0.084,0.072,0.0577
"87","Yy1V0416101PkRep2",220,0.945769732120626,0.888542066386436,0.880112287690828,0.44,0.388,0.372,0.38,0.338,0.365,0.44,0.454,0.39,0.09,0.0558,NA,0.094,0.0584,NA,0.089,0.0574,NA
"88","Yy1V0416102PkRep1",226,0.983635266396092,0.784858773657716,0.776705205049539,1,0.804,0.477,0.31,0.388,0.309,1,0.462,0.333,0.226,NA,NA,0.181,NA,NA,0.159,NA,NA
"89","Yy1V0416102PkRep2",591,0.969462704886285,0.873466964209746,0.863609579795009,0.97,0.864,0.879,0.78,0.826,0.872,0.97,0.966,0.898,0.08,0.0702,0.0528,0.09,0.073,0.0547,0.085,0.0714,0.0533
"90","Zbtb33Pcr1xPkRep1",311,0.931048475342866,0.833322694776773,0.449290560256784,1,0.958,NA,0.77,0.906,NA,0.98,0.512,NA,0.11,0.0466,0.0262,0.114,0.0484,0.0274,0.072,0.0278,0.0154
"91","Zbtb33Pcr1xPkRep2",339,0.933704266214927,0.820720641782036,0.440246704441459,1,0.976,NA,0.81,0.936,NA,1,0.57,NA,0.128,0.0506,0.0272,0.134,0.0528,0.028,0.08,0.0304,0.0169
"92","Zbtb7asc34508V0416101PkRep1",364,0.909797975898235,0.795373058792857,0.745778343683942,0.3,0.224,0.248,0.16,0.128,0.116,0.3,0.216,0.222,0.042,0.0274,NA,0.04,0.0294,NA,0.038,0.0256,NA
"93","Zbtb7asc34508V0416101PkRep2",352,0.929244393031303,0.87430829934415,0.836241876668296,0.59,0.506,0.489,0.43,0.514,0.517,0.6,0.58,0.536,0.026,0.0276,0.0261,0.026,0.0316,0.0279,0.023,0.0286,0.027
"94","Egr1",194,0.571100727296903,0.530955686797561,0.557459425200904,0,0,0,0,0,0,0,0,0.001,0.001,NA,NA,0.001,NA,NA,0.001,NA,NA
"95","Gabp",127,0.529688113607576,0.46653200397059,0.513065819270533,0,0,0,0,0,0,0,0,0,0.007,NA,NA,0.006,NA,NA,0.007,NA,NA
"96","Hey1",162,0.576062901123761,0.530709789264022,0.511346967206448,0.01,0.016,0.018,0.02,0.04,0.026,0.01,0.02,0.012,0.002,0.0016,9e-04,0.002,0.0018,0.0012,0.002,0.001,6e-04
"97","Nrsf",157,0.528372023583422,0.501443101301378,0.475687872171642,0,0,0,0,0,0,0,0,0,0.005,NA,NA,0.003,NA,NA,0.001,NA,NA
"98","Pol24h8",148,0.535570713806693,0.51433314997752,0.528574308082977,0.01,0.038,0.034,0.04,0.04,0.034,0.04,0.034,0.03,0.003,0.003,0.0019,0.005,0.0024,0.0017,0.005,0.0024,0.0015
"99","Pol2",168,0.578668903893638,0.525621357039259,0.535968775267946,0,0.002,0.001,0,0,0,0,0.002,0.001,0,0.0016,0.001,0,0.0014,9e-04,0,0.0016,0.0012
"100","Pu1",170,0.567152831476481,0.503192244861566,0.508248359752661,0,0.006,0.005,0,0.012,0.007,0,0.004,0.005,0,2e-04,2e-04,0,4e-04,4e-04,0,4e-04,2e-04
"101","Sin3ak20",344,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Six5",180,0.570818126404988,0.505990108798885,0.561980643365007,0,0,0.001,0,0,0.001,0,0,0,0.003,NA,NA,0.008,NA,NA,0.005,NA,NA
"103","Srf",110,0.572894399632054,0.488127116676234,0.474849049915541,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Taf1",110,0.524552560837578,0.477320477697175,0.420140389463395,0,0,0.002,0.01,0.006,0.004,0,0,0.004,0,0,NA,0.001,4e-04,NA,0,0,NA
"105","Usf1",105,0.547586772625199,0.525272466527617,0.491767547110849,0,0.002,0.001,0,0.002,0.001,0,0.002,0.001,0.001,0.0022,NA,0.001,0.0026,NA,0,0.0018,NA
"106","Egr1",206,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Gabp",115,0.525542481088518,0.526001407070352,0.524846220918524,0,0,0,0,0,0,0,0,0,0.003,NA,NA,0.004,NA,NA,0.006,NA,NA
"108","Hey1",212,0.569857477124193,0.534278067661157,0.497874279219187,0.03,0.026,0.024,0.02,0.04,0.03,0.03,0.028,0.022,0.002,0.0014,0.001,0.002,0.0018,0.0012,0.002,0.001,6e-04
"109","Nrsf",104,0.53652667500434,0.519673440269551,0.530528919917956,0,0,0,0,0,0.002,0,0,0,0,NA,NA,0.001,NA,NA,0.001,NA,NA
"110","Pol24h8",136,0.589853017510623,0.560337748868745,0.521982855953055,0.04,0.088,0.086,0.08,0.064,0.08,0.12,0.052,0.066,0.003,0.0036,0.0023,0.003,0.0034,0.0023,0.003,0.0034,0.0026
"111","Pol2",247,0.570499832136754,0.517197711119946,0.530683859927196,0,0,0.001,0,0.002,0.001,0,0,0.001,0.001,0.0018,0.0015,0,0.0022,0.0017,0.001,0.002,0.0016
"112","Pu1",357,0.538854392042628,0.488450593511008,0.518177207969147,0,0,0.003,0.02,0.006,0.003,0,0,0.004,0.002,8e-04,7e-04,0.003,6e-04,0.0012,0.002,8e-04,9e-04
"113","Sin3ak20",110,0.560694173345517,0.526243045355149,0.559412662278304,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Six5",263,0.558919985278413,0.507254304497822,0.551320210041054,0.01,0.002,0.002,0,0,0,0.01,0.002,0.001,0.004,NA,NA,0.005,NA,NA,0.004,NA,NA
"115","Srf",108,0.555788439281401,0.509385037930647,0.473649760828607,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Taf1",105,0.621045881817722,0.480006743241686,0.475073473560115,0.01,0.004,0.005,0.01,0.014,0.011,0.01,0.006,0.007,0.002,6e-04,7e-04,0.001,8e-04,0.001,0.003,0.001,8e-04
"117","Usf1",104,0.552666881243884,0.520775760837073,0.566078272260281,0,0,0,0,0,0.001,0,0,0,0.002,0.0012,NA,0.002,0.001,NA,0.001,8e-04,NA
"118","Arid3asc8821IggrabPk",6320,NA,NA,NA,0.8,0.766,0.725,0.37,0.402,0.375,0.77,0.782,0.73,0.255,0.1958,0.172,0.218,0.1674,0.1539,0.225,0.1674,0.1473
"119","Atf106325StdPk",427,0.939720907884979,0.864839720490082,0.849890117924775,0.88,0.666,0.644,0.55,0.572,0.628,0.85,0.79,0.685,0.065,0.0428,0.0304,0.075,0.0464,0.0331,0.072,0.0462,0.0325
"120","Atf3StdPk",378,0.963903558368133,0.863949664937304,0.858419963663084,0.3,0.31,0.27,0.06,0.072,0.056,0.31,0.3,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Bach1sc14700IggrabPk",2353,0.908746307143781,0.689833899631309,0.763362177433403,0.96,0.9,0.839,0.37,0.34,0.374,0.96,0.822,0.64,0.511,0.2748,0.17,0.414,0.2064,0.1294,0.406,0.203,0.1275
"122","Bdp1StdPk",162,0.957465344616028,0.716173940445579,0.940347971346867,0,0.002,0.006,0,0.002,0.007,0,0.002,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Bhlhe40nb100IggrabPk",836,0.934465212477274,0.826489930460021,0.460743495125728,0.98,0.956,0.932,0.64,0.784,0.834,0.52,0.132,0.225,0.053,0.0358,0.0308,0.051,0.0358,0.0306,0.018,0.015,0.0126
"124","Brf1StdPk",119,0.98213124213184,0.782661692129385,0.983357230810289,0.03,0.006,0.003,0,0,0,0.03,0.006,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Brf2StdPk",113,0.928451167327339,0.692064137809498,0.911578911009137,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Brg1IggmusPk",1758,NA,NA,NA,0.16,0.18,0.17,0.01,0.014,0.016,0.16,0.18,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Ccnt2StdPk",736,0.941986497258282,0.847243390970726,0.481333726050116,0.96,0.912,0.878,0.7,0.732,0.79,0.48,0.116,0.218,0.051,0.0438,0.0349,0.055,0.0442,0.0351,0.029,0.021,0.0169
"128","Cdpsc6327IggrabPk",5978,NA,NA,NA,0.64,0.602,0.573,0.38,0.338,0.333,0.68,0.624,0.599,0.218,0.192,0.1624,0.191,0.1732,0.1486,0.189,0.172,0.1414
"129","CebpbIggrabPk",686,0.907080485085539,0.813777903689623,0.456342796522396,0.92,0.852,0.787,0.48,0.628,0.672,0.4,0.112,0.19,0.016,0.0132,0.0108,0.015,0.013,0.0109,0.007,0.0058,0.0048
"130","CfosStdPk",594,0.966340721241351,0.775893517006353,0.895129096305104,0.41,0.35,0.279,0.04,0.054,0.043,0.39,0.322,0.257,0.176,NA,NA,0.144,NA,NA,0.151,NA,NA
"131","Chd2ab68301IggrabPk",518,0.96133798991327,0.903156003096808,0.872342114810156,0.96,0.816,0.816,0.64,0.77,0.815,0.96,0.924,0.847,0.109,0.0706,0.0556,0.114,0.0756,0.0598,0.105,0.0718,0.0573
"132","CjunIfna30StdPk",5494,0.934776816490346,0.707291453248106,0.699959252317647,0.63,0.61,0.595,0.28,0.296,0.317,0.71,0.644,0.607,0.184,0.1646,0.1556,0.158,0.1496,0.1451,0.163,0.1426,0.1347
"133","CjunIfna6hStdPk",656,0.977258417242627,0.747037324896713,0.972280903085785,0.12,0.122,0.11,0.04,0.04,0.035,0.12,0.122,0.11,0.353,NA,NA,0.28,NA,NA,0.355,NA,NA
"134","CjunIfng30StdPk",431,0.968283064538062,0.725734896322383,0.95969492403575,0.3,0.214,0.187,0.06,0.058,0.057,0.3,0.22,0.189,0.144,NA,NA,0.115,NA,NA,0.139,NA,NA
"135","CjunIfng6hStdPk",819,0.97094813614678,0.737509799075277,0.963192445806367,0.12,0.128,0.118,0.07,0.056,0.047,0.12,0.128,0.118,0.355,NA,NA,0.277,NA,NA,0.356,NA,NA
"136","CjunIggrabPk",834,0.896993425449254,0.778670416156596,0.479275620890054,0.8,0.81,0.808,0.6,0.692,0.754,0.42,0.152,0.26,0.076,0.051,0.0401,0.082,0.0518,0.0402,0.047,0.0302,0.0245
"137","CjunStdPk",7040,NA,NA,NA,0.31,0.326,0.317,0.1,0.11,0.099,0.31,0.326,0.317,0.598,0.4354,NA,0.558,0.4328,NA,0.605,0.4372,NA
"138","CmycIfna30StdPk",881,0.95692133612395,0.681567906198038,0.938355360103671,0.2,0.146,0.154,0.07,0.038,0.039,0.2,0.146,0.154,0.296,NA,NA,0.231,NA,NA,0.287,NA,NA
"139","CmycIfna6hStdPk",1462,0.955514844336789,0.677191009616753,0.934420904038424,0.29,0.242,0.23,0.1,0.058,0.056,0.29,0.242,0.23,0.299,NA,NA,0.238,NA,NA,0.294,NA,NA
"140","CmycIfng30StdPk",728,0.94310570920756,0.845526812033986,0.465436968961332,0.96,0.9,0.885,0.68,0.756,0.794,0.48,0.108,0.211,0.068,0.0482,0.0377,0.069,0.0474,0.0373,0.035,0.0194,0.0157
"141","CmycIfng6hStdPk",2028,0.939261978340442,0.661217940761224,0.865034835986999,0.36,0.408,0.362,0.07,0.112,0.106,0.36,0.396,0.348,0.198,0.1756,NA,0.165,0.1456,NA,0.186,0.166,NA
"142","CmycIggrabPk",848,0.948931453658172,0.840708475490275,0.465400635635074,1,0.96,0.946,0.74,0.836,0.872,0.5,0.136,0.24,0.064,0.0508,0.0413,0.065,0.0494,0.0409,0.026,0.0232,0.0186
"143","CmycStdPk",276,0.952911518551052,0.716662529843341,0.897985329883173,0.28,0.184,0.127,0.02,0.016,0.023,0.28,0.182,0.127,0.084,NA,NA,0.077,NA,NA,0.096,NA,NA
"144","Corestab24166IggrabPk",1254,0.93505887899536,0.708018840053942,0.449697086588018,0.81,0.796,0.783,0.58,0.644,0.676,0.65,0.216,0.113,0.057,0.0616,0.059,0.05,0.0542,0.0529,0.005,0.0058,0.0055
"145","Corestsc30189IggrabPk",1042,0.937880350806869,0.811752361094001,0.453630681933103,0.98,0.972,0.968,0.82,0.912,0.946,0.74,0.216,0.284,0.019,0.023,0.0236,0.02,0.0232,0.0238,0.007,0.0102,0.0107
"146","CtcfbIggrabPk",460,0.910167552817937,0.84165382097637,0.827655797508008,0.78,0.626,0.593,0.45,0.542,0.579,0.78,0.742,0.629,0.015,0.0112,0.0074,0.015,0.0118,0.0079,0.016,0.0124,0.0085
"147","E2f4UcdPk",245,0.958279143543159,0.716778307868258,0.840036889332399,0.7,0.52,0.337,0.27,0.292,0.208,0.72,0.396,0.282,0.066,0.0516,NA,0.043,0.0346,NA,0.05,0.0392,NA
"148","E2f6UcdPk",391,0.939538028240812,0.883999464749962,0.832110924198399,0.69,0.56,0.554,0.5,0.544,0.553,0.69,0.658,0.584,0.055,0.048,0.0427,0.052,0.052,0.0465,0.052,0.0498,0.0449
"149","Elk112771IggrabPk",382,0.96177530558141,0.928471967969275,0.906052494472602,0.81,0.648,0.636,0.45,0.584,0.635,0.8,0.77,0.673,0.055,0.0656,0.046,0.061,0.0704,0.0502,0.057,0.0678,0.0486
"150","Gata1bIggmusPk",19890,NA,NA,NA,0.24,0.206,0.23,0.1,0.11,0.102,0.24,0.206,0.23,0.501,0.421,NA,0.523,0.453,NA,0.497,0.4204,NA
"151","Gata1UcdPk",232,0.98377280365182,0.856312569008018,0.942880699401343,0.1,0.184,0.163,0.02,0.022,0.024,0.11,0.196,0.168,0.187,NA,NA,0.165,NA,NA,0.173,NA,NA
"152","Gata2UcdPk",1176,0.969990067641269,0.766344960321808,0.933509997875731,0.18,0.328,0.336,0.04,0.09,0.091,0.2,0.354,0.355,0.283,0.209,NA,0.234,0.1774,NA,0.271,0.195,NA
"153","Gtf2bStdPk",1897,0.971118798013341,0.732821250269181,0.962093457339927,0.38,0.448,0.428,0.18,0.104,0.098,0.38,0.448,0.428,0.335,0.2464,NA,0.25,0.1904,NA,0.339,0.2428,NA
"154","Gtf2f1ab28179IggrabPk",369,0.958873310637068,0.925469049839907,0.899921701412237,0.82,0.628,0.593,0.44,0.512,0.575,0.82,0.752,0.63,0.05,0.0568,0.0438,0.053,0.0604,0.0469,0.051,0.058,0.0454
"155","Hcfc1nb10068209IggrabPk",790,0.977625056621505,0.811848821008627,0.825413207889203,1,0.948,0.965,0.94,0.95,0.96,1,0.992,0.958,0.569,0.184,0.0936,0.584,0.1784,0.0906,0.569,0.1736,0.0882
"156","Hmgn3StdPk",454,0.948266417641292,0.885851928394481,0.850408250348393,0.77,0.66,0.658,0.58,0.66,0.672,0.77,0.774,0.709,0.035,0.042,0.0414,0.037,0.0462,0.0451,0.032,0.0436,0.0434
"157","Ini1IggmusPk",289,0.947506379315443,0.678840891564228,0.917111361262774,0.06,0.08,0.063,0.01,0.03,0.022,0.07,0.082,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Irf1Ifna30StdPk",657,0.911163580124942,0.600509793562598,0.869864546942789,0.32,0.182,0.151,0.01,0.018,0.02,0.33,0.19,0.151,0.103,NA,NA,0.074,NA,NA,0.102,NA,NA
"159","Irf1Ifna6hStdPk",1182,0.948065001274313,0.727620832030129,0.444652035489899,0.8,0.83,0.814,0.68,0.67,0.7,0.69,0.226,0.122,0.045,0.0858,0.0748,0.048,0.0812,0.0714,0.006,0.0086,0.007
"160","Irf1Ifng30StdPk",1326,0.953418690558681,0.713834572747373,0.445675293129898,0.89,0.898,0.867,0.76,0.726,0.754,0.72,0.254,0.134,0.124,0.1202,0.0912,0.123,0.1128,0.0855,0.011,0.01,0.0089
"161","Irf1Ifng6hStdPk",472,0.967767296837288,0.907470190718633,0.878944033417894,0.92,0.752,0.703,0.5,0.656,0.698,0.89,0.87,0.74,0.075,0.0704,0.0567,0.082,0.0748,0.0605,0.074,0.0724,0.0575
"162","JundIggrabPk",1961,0.952922345442422,0.684311969722601,0.442968826023808,0.98,0.984,0.982,0.9,0.916,0.933,0.94,0.39,0.214,0.05,0.0538,0.0587,0.044,0.0482,0.0522,0.011,0.0064,0.0058
"163","Kap1UcdPk",172,0.80963687629597,0.707581673427276,0.511583730176067,0.31,0.134,0.103,0.08,0.076,0.081,0.08,0.036,0.03,0.003,0.0056,0.0071,0.004,0.0046,0.0068,0.002,0.001,0.0016
"164","MaffIggrabPk",295,0.902989491405048,0.843247887978466,0.469603110929903,0.98,0.908,NA,0.74,0.876,NA,0.98,0.468,NA,0.003,0.0068,0.0091,0.003,0.0072,0.0098,0.003,0.005,0.0064
"165","Mafkab50322IggrabPk",475,0.931220671623434,0.863457811986426,0.837113849059713,0.89,0.714,0.68,0.48,0.594,0.662,0.88,0.8,0.708,0.005,0.0046,0.0064,0.003,0.005,0.0072,0.004,0.005,0.0074
"166","MaxIggrabPk",794,0.950432660567764,0.845590142357047,0.457297220265075,0.98,0.94,0.924,0.76,0.816,0.848,0.38,0.104,0.209,0.064,0.0466,0.0384,0.066,0.0454,0.0383,0.028,0.021,0.0162
"167","MaxStdPk",281,0.949046930876932,0.813609261761831,0.923951540000797,0.73,0.492,0.315,0.06,0.036,0.041,0.73,0.498,0.333,0.168,NA,NA,0.161,NA,NA,0.171,NA,NA
"168","Mazab85725IggrabPk",950,0.943443030175627,0.820567037415101,0.465067391876613,1,0.968,0.964,0.78,0.892,0.916,0.56,0.14,0.263,0.059,0.0496,0.0398,0.063,0.0498,0.0393,0.028,0.0236,0.0179
"169","Mxi1af4185IggrabPk",472,0.958940265600164,0.911905963185151,0.878117417833154,0.94,0.762,0.74,0.57,0.658,0.723,0.93,0.878,0.78,0.075,0.065,0.0504,0.08,0.0704,0.0542,0.078,0.067,0.0521
"170","NelfeStdPk",195,0.947195037742222,0.75103053908921,0.755601313582534,0.11,0.064,0.051,0.01,0.02,0.015,0.12,0.07,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Nfe2StdPk",107,0.962033755444194,0.747281271547019,0.943933351219472,0.08,0.058,0.05,0.02,0.024,0.019,0.08,0.058,0.052,0.097,NA,NA,0.076,NA,NA,0.096,NA,NA
"172","NfyaStdPk",829,0.943939593360043,0.793928590659622,0.852615957759704,0.96,0.91,0.766,0.17,0.202,0.217,0.96,0.892,0.716,0.33,0.1806,NA,0.32,0.1632,NA,0.312,0.1548,NA
"173","NfybStdPk",253,0.928360585603883,0.82950651748347,0.822450987842941,0.39,0.366,0.368,0.24,0.332,0.368,0.36,0.41,0.378,0.072,0.0392,0.029,0.073,0.0396,0.0285,0.063,0.038,0.0274
"174","Nrf1IggrabPk",153,0.971320907726167,0.848118679741365,0.983148844682917,0.54,0.348,0.192,0.08,0.146,0.226,0.54,0.37,0.238,0.045,0.03,NA,0.054,0.0366,NA,0.055,0.0372,NA
"175","P300IggrabPk",13360,NA,NA,NA,0.97,0.948,0.934,0.77,0.758,0.75,0.96,0.97,0.953,0.265,0.2272,0.2241,0.227,0.1952,0.1961,0.229,0.1938,0.1912
"176","P300sc584sc48343IggrabPk",178,0.962313224653794,0.783337658070364,0.927861364857603,0.67,0.376,0.259,0.14,0.196,0.206,0.67,0.368,0.245,0.05,0.0328,0.021,0.041,0.027,0.0173,0.049,0.0308,0.0195
"177","Pol2Ifna30StdPk",1200,0.922057771620906,0.693036872017509,0.446851246667768,0.66,0.726,0.713,0.57,0.588,0.594,0.48,0.164,0.086,0.157,0.1516,NA,0.153,0.1372,NA,0.021,0.0142,NA
"178","Pol2Ifna6hStdPk",1220,0.926755313028879,0.696026063298364,0.448002592902351,0.76,0.778,0.735,0.59,0.598,0.607,0.53,0.172,0.093,0.155,0.1538,NA,0.148,0.14,NA,0.019,0.014,NA
"179","Pol2Ifng30StdPk",578,0.927764911251258,0.845971882889222,0.475308385542294,0.86,0.8,0.753,0.58,0.592,0.636,0.4,0.092,0.157,0.067,0.0528,0.0426,0.069,0.0526,0.042,0.033,0.0226,0.0184
"180","Pol2Ifng6hStdPk",582,0.92892070461052,0.854682092039482,0.474623312182199,0.92,0.792,0.74,0.52,0.568,0.618,0.38,0.088,0.152,0.063,0.0552,0.0427,0.064,0.0546,0.0422,0.03,0.024,0.0184
"181","Pol2IggmusPk",3992,NA,NA,NA,0.35,0.382,0.363,0.13,0.138,0.13,0.35,0.382,0.363,0.464,NA,NA,0.369,NA,NA,0.459,NA,NA
"182","Pol2s2IggrabPk",2019,0.838402372727884,0.717629634255359,0.52482594497438,0.8,0.854,0.843,0.63,0.662,0.671,0.82,0.862,0.806,0.057,0.0378,0.0364,0.054,0.0368,0.0358,0.051,0.0336,0.0312
"183","Pol2s2StdPk",124,0.523306260303164,0.455299847211612,0.526373085119215,0.01,0.014,0.017,0.02,0.016,0.018,0.01,0.01,0.02,0,2e-04,2e-04,0,2e-04,2e-04,0,4e-04,2e-04
"184","Pol2StdPk",614,0.933147310142583,0.855165250952236,0.472057547106212,0.89,0.816,0.773,0.6,0.616,0.662,0.38,0.084,0.159,0.083,0.0544,0.044,0.084,0.0538,0.0433,0.038,0.023,0.019
"185","Pol3StdPk",131,0.966209424898006,0.782552596422799,0.976645807572006,0.01,0.004,0.003,0,0.002,0.002,0.01,0.004,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Rad21StdPk",902,0.91311183908197,0.75387320532415,0.91940020946735,0.76,0.63,0.61,0.27,0.32,0.375,0.72,0.506,0.302,0.083,0.0744,0.0655,0.1,0.0852,0.0671,0.091,0.053,0.0369
"187","Rfx5IggrabPk",602,0.943019852036673,0.852506990475037,0.475730961894342,0.94,0.872,0.819,0.46,0.58,0.666,0.42,0.096,0.156,0.118,0.0666,0.0395,0.116,0.0662,0.0394,0.058,0.029,0.0165
"188","Rpc155StdPk",229,0.901957239479863,0.661218548230571,0.870105691753171,0,0.006,0.009,0.01,0.008,0.015,0,0.006,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Setdb1MnasedUcdPk",339,0.610048561616647,0.540766136420513,0.500607723677355,0.12,0.032,0.021,0,0,0,0.01,0.002,0.001,0.017,NA,NA,0.015,NA,NA,0.029,NA,NA
"190","Setdb1UcdPk",130,0.889732567631049,0.790131494154759,0.787236076747709,0.12,0.096,0.09,0,0.02,0.018,0.12,0.1,0.078,0.025,NA,NA,0.023,NA,NA,0.025,NA,NA
"191","Sirt6StdPk",202,0.964963769936587,0.716847635758687,0.956669136990954,0.05,0.056,0.049,0.01,0.006,0.005,0.05,0.056,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Smc3ab9263IggrabPk",1600,0.901333896768542,0.688759232724519,0.879494137604443,0.96,0.916,0.871,0.46,0.536,0.568,0.95,0.702,0.469,0.09,0.081,0.0689,0.094,0.079,0.0652,0.084,0.054,0.0382
